UID,Clear ID,Grade,Flesch Kincaid,Text,Sentence Score,Sentence Score Rationale,Vocabulary Score,Vocabulary Score Rationale,Tier 2 Words,Tier 3 Words,Archaic Words,Other Complex Words,Background Knowledge Assumption
557,2828,3,6.36,"In 2000, a young woman named Jill Price contacted McGaugh to say that she had a memory problem. She said she had trouble forgetting things. This was very unusual! If a person says they have a memory problem, then it usually means they have trouble remembering things. After talking to her, it became very clear that she had an amazing memory. Her memory was then tested over the next few years. For one of the tests, she was asked to write down the date and what she was doing for the past 23 Easters. This was a very hard test, because Easter falls on a different date each year. She got all the dates correct except for one! What made this even more interesting was that Jill Price did not even celebrate Easter. A paper discussing Jill's memory was published in 2006. After that, more people contacted us to say that they also had HSAM. In December 2010, the TV show ""60 Minutes"" featured six people who have HSAM. Over 19 million people saw this TV show. Immediately afterwards, hundreds of viewers quickly contacted us and asked to have their memory tested!",very complex,"ss_annotator_1: There are too many complex sentences that contain more than 1 concept.
ss_annotator_2: many complex constructions. too difficult for grade 3 given the core concept and vocabulary would be challenging for a third grade reader
ss_annotator_3: Some compound sentences, but not too complex. Vocabulary not too hard either.",slightly complex,"vocab_annotator_1: This text is appropriate for a grade 3 student even though the vocab is slightly complex. The vocab used in the story may cause for a few pauses, but students will not struggle to understand the main points of the text. 
vocab_annotator_2: interesting passage, very engaging topic
vocab_annotator_3: Students would be able to access the gist of this text with no to light scaffolds; vocab is not a barrier","celebrate, contacted, discussing, featured, forgetting, immediately, published, trouble, unusual, usually, viewers",hsam,,"60 minutes, easter, hsam","Students are likely familiar with the concept of memory and basic testing, but they may not be familiar with HSAM (Highly Superior Autobiographical Memory) or the specific details of memory research."
558,2828,4,6.36,"In 2000, a young woman named Jill Price contacted McGaugh to say that she had a memory problem. She said she had trouble forgetting things. This was very unusual! If a person says they have a memory problem, then it usually means they have trouble remembering things. After talking to her, it became very clear that she had an amazing memory. Her memory was then tested over the next few years. For one of the tests, she was asked to write down the date and what she was doing for the past 23 Easters. This was a very hard test, because Easter falls on a different date each year. She got all the dates correct except for one! What made this even more interesting was that Jill Price did not even celebrate Easter. A paper discussing Jill's memory was published in 2006. After that, more people contacted us to say that they also had HSAM. In December 2010, the TV show ""60 Minutes"" featured six people who have HSAM. Over 19 million people saw this TV show. Immediately afterwards, hundreds of viewers quickly contacted us and asked to have their memory tested!",very complex,"ss_annotator_1: There are too many complex sentences that contain more than 1 concept.
ss_annotator_2: many complex constructions. a fourth grade reader should be able to independently manage the sentence constructions, vocabulary and subject
ss_annotator_3: Some compound sentences, but not too complex. Vocabulary not too hard either.",not scored,not scored,not scored,not scored,not scored,not scored,not scored
559,2856,3,4.74,"When Siphar presses ‘Enter' on the computer, the computer understands. That is because the meaning of the word is stored in its brain.
The instruction ‘Enter' is stored in the brain of the computer in Binary. Binary is the language we use to communicate with computers.
If you saw words or instructions in Binary, you would be confused. That is because Binary uses only a series of 1s and 0s.
Each 1 and each 0 is important. Each 1 and each 0 gives the computer an important message. The computer is made up of millions of circuits which allow electricity to pass. Or not. When electricity passes, it is ON and is written as 1. When it doesn't pass, it is OFF and is written as 0.
That is why the language is called Binary. It comes from bini, which is Latin for ""two together"". In this language, there are only two letters. The letters are called bits. Eight bits make a byte.
Using just 1 and 0, you can communicate many things to the computer. The letter A is stored as the byte 01000001. The letter B is stored as the byte 01000010.",moderately complex,"ss_annotator_1: There are too many complex sentences that contain more than 1 concept.
ss_annotator_2: This passage would be appropriate for many third grade students. It contains mostly simple sentences and a lower number of complex sentences. There are more sentences containing one concept than sentences with multiple concepts.
ss_annotator_3: Very simple constructions. Sort of complex subject matter with some complex vocab.",not scored,not scored,not scored,not scored,not scored,not scored,not scored
560,2856,4,4.74,"When Siphar presses ‘Enter' on the computer, the computer understands. That is because the meaning of the word is stored in its brain.
The instruction ‘Enter' is stored in the brain of the computer in Binary. Binary is the language we use to communicate with computers.
If you saw words or instructions in Binary, you would be confused. That is because Binary uses only a series of 1s and 0s.
Each 1 and each 0 is important. Each 1 and each 0 gives the computer an important message. The computer is made up of millions of circuits which allow electricity to pass. Or not. When electricity passes, it is ON and is written as 1. When it doesn't pass, it is OFF and is written as 0.
That is why the language is called Binary. It comes from bini, which is Latin for ""two together"". In this language, there are only two letters. The letters are called bits. Eight bits make a byte.
Using just 1 and 0, you can communicate many things to the computer. The letter A is stored as the byte 01000001. The letter B is stored as the byte 01000010.",moderately complex,"ss_annotator_1: There are too many complex sentences that contain more than 1 concept.
ss_annotator_2: This passage would be a good fit for most fourth grade level students. It is still moderately complex since it has more than a few complex sentences.
ss_annotator_3: Simple sentences and simple enough vocab for the grade level.",slightly complex,"vocab_annotator_1: The vocab used in this text is moderately complex because the word usage may present some slight challenges for comprehension, but overall the bulk of the text can be understood with little difficulty. 
vocab_annotator_2: too difficult of topic
vocab_annotator_3: Students would be able to access the gist of this text with no to light scaffolds; vocab is not a barrier","circuits, communicate, electricity, instruction, message, pass, series, stored","binary, bit, bits, byte, circuits",bini,"bini, siphar","Students are likely familiar with basic computer usage and the concept of electricity, but they may not be familiar with binary code or how computers process information using 1s and 0s."
561,2873,3,5.93,"Turtle ship is a warship built by Admiral Yi Sun-sin during a Japanese invasion of Korea in 16th century, Joseon Dynasty, and used to defeat the Japanese Navy. Because it looked like a turtle, it has been called ""Turtle ship.""
It has a dragon-shaped head, which can fire cannons through its mouth. Its tail can also fire artillery. ""Turtle ship"" has 12 cannons in each side, so total cannons are 24. As lots of iron nails are stuck in its back, nobody can approach it easily. Moreover, people who are in the ""Turtle ship"" can see the outside, while exterior people cannot look into it.
Its inside is divided into two floors, one of which is the place where cannons are and the other is where people can row. There are twenty-four rooms. Nineteen of them are where soldiers can take a rest. Other three of them are where some weapons, such as swords, arrows and spears, are. In the other three rooms, iron goods can be stored. On the bottom, there is a huge water tank, which can make ""Turtle ship"" float and sink.",very complex,"ss_annotator_1: Over half the text contains sentences that have more than 1 concept.
ss_annotator_2: This passage would be appropriate for some third grade level students. It would be more challenging than some other passages since it has frequent transition words and sentences with multiple concepts.
ss_annotator_3: Mostly complex constructions. Too tough with vocab for grade level.",not scored,not scored,not scored,not scored,not scored,not scored,not scored
562,2873,4,5.93,"Turtle ship is a warship built by Admiral Yi Sun-sin during a Japanese invasion of Korea in 16th century, Joseon Dynasty, and used to defeat the Japanese Navy. Because it looked like a turtle, it has been called ""Turtle ship.""
It has a dragon-shaped head, which can fire cannons through its mouth. Its tail can also fire artillery. ""Turtle ship"" has 12 cannons in each side, so total cannons are 24. As lots of iron nails are stuck in its back, nobody can approach it easily. Moreover, people who are in the ""Turtle ship"" can see the outside, while exterior people cannot look into it.
Its inside is divided into two floors, one of which is the place where cannons are and the other is where people can row. There are twenty-four rooms. Nineteen of them are where soldiers can take a rest. Other three of them are where some weapons, such as swords, arrows and spears, are. In the other three rooms, iron goods can be stored. On the bottom, there is a huge water tank, which can make ""Turtle ship"" float and sink.",very complex,"ss_annotator_1: Over half the text contains sentences that have more than 1 concept.
ss_annotator_2: This passage would be a good fit for most fourth graders. It has some tricky dependent clauses that make the sentences a bit challenging, but fourth graders should be fairly comfortable with such sentence structures.
ss_annotator_3: Mostly complex sentence constructions. Seems appropriate for grade level.",slightly complex,"vocab_annotator_1: I feel the level is appropriate, the unknown words are not overwhelming. However, it feels slightly too sophisticated for 3rd grade and not sophisticated enough for 5th. I also think 4th graders would knows some of the tier 2. Some of the names might need to be moved to more specific like cultural terms. 

vocab_annotator_2: Very descriptive passsage

vocab_annotator_3: Students would be able to access the gist of this text with no to light scaffolds; vocab is not a barrier","approach, artillery, cannons, defeat, divided, exterior, goods, invasion","admiral, artillery, cannons, joseon dynasty, navy, turtle ship",,"joseon dynasty, turtle ship, yi sun-sin","Students are likely familiar with basic concepts of naval warfare and ship design, but may not be familiar with the specific historical context of the Turtle ship or Admiral Yi Sun-sin during the 16th-century Joseon Dynasty."
563,2875,3,7.74,"Bacteria do have a social life. They talk to each other by releasing simple chemicals. This system is called quorum sensing. When the bacteria are growing in your body and the amount of quorum sensing chemicals reaches a certain level, you begin to feel sick. There are other types of molecules that can block this system and they are called quorum quenching agents (QQAs). We wish to design new drugs that act as QQAs. In this article, we describe how we isolated a new molecule from a marine sponge. This molecule, called plakofuranolactone, works as a QQA.
DID YOU KNOW THAT SOME MEDICINES COME FROM THE SEA?
Sponges, algae, and other marine organisms produce many kinds of molecules. Scientists can use these molecules to design new types of drugs. Our research group studies the molecules produced by sponges that live in the ocean. We hope to use these molecules to make new medicines to fight common diseases or infections caused by bacteria. We usually fight bacterial infections by taking medicines that are antimicrobial compounds, or molecules able to kill microorganisms or stop their growth, also called antibiotics. Antibiotics work by killing the bacteria that infect us and make us feel sick.",moderately complex,"ss_annotator_1: Too many sentences with more than 1 concept.
ss_annotator_2: This passage would be good for most third graders. There are many simple sentences with few transition words.
ss_annotator_3: Some multi-part sentences, but not too much. Lots of complex words and academic lingo.",not scored,not scored,not scored,not scored,not scored,not scored,not scored
564,2875,4,7.74,"Bacteria do have a social life. They talk to each other by releasing simple chemicals. This system is called quorum sensing. When the bacteria are growing in your body and the amount of quorum sensing chemicals reaches a certain level, you begin to feel sick. There are other types of molecules that can block this system and they are called quorum quenching agents (QQAs). We wish to design new drugs that act as QQAs. In this article, we describe how we isolated a new molecule from a marine sponge. This molecule, called plakofuranolactone, works as a QQA.
DID YOU KNOW THAT SOME MEDICINES COME FROM THE SEA?
Sponges, algae, and other marine organisms produce many kinds of molecules. Scientists can use these molecules to design new types of drugs. Our research group studies the molecules produced by sponges that live in the ocean. We hope to use these molecules to make new medicines to fight common diseases or infections caused by bacteria. We usually fight bacterial infections by taking medicines that are antimicrobial compounds, or molecules able to kill microorganisms or stop their growth, also called antibiotics. Antibiotics work by killing the bacteria that infect us and make us feel sick.",moderately complex,"ss_annotator_1: There are enough simple sentences to balance the complexity of the others.
ss_annotator_2: This passage would be a good choice for fourth graders. Even though it has many simple sentences, it is structured in a way that would keep most students engaged in the text.
ss_annotator_3: Some multi-part sentences, but not too much. Lots of complex words and academic lingo.",very complex,"vocab_annotator_1: I think this article's vocabulary is just enough for 4th grade. Some of the technical vocabulary is a lot, but I feel like the tier 2 can be figured out with contextual clues. 
vocab_annotator_2: Too many higher level words to understand text
vocab_annotator_3: This student uses a lot of scientific terminology and does a decent job explaining the process.","able, agents, antibiotics, antimicrobial, caused, compounds, describe, design, diseases, infection, isolated, marine, molecules, produce, quenching, studies","algae, antibiotics, antimicrobial, bacteria, marine sponge, microorganisms, plakofuranolactone, quorum, quorum quenching agents, quorum sensing",social life,fight common diseases,"Students are likely familiar with basic concepts of bacteria and antibiotics but may not be familiar with quorum sensing, quorum quenching agents, or the use of marine organisms in drug development."
565,2876,3,7.37,"A very special branch of science called ‘Paleontology' (pronounced pay-lee-ontol-oji). Paleontology is the study of plants and animals that lived on Earth many, many years ago. And paleontologists are scientists who study this science. Just as the ruins of an old palace can tell us things about a king from the past (like how grand his throne was, or what his favorite weapon was), there are clues deep inside the earth that can tell us many things about ancient animals. The clues come in many forms—bones, footprints, eggs, and sometimes even the body of an entire animal preserved in stone!
These animals lived millions and millions of years ago, long before apes or humans appeared on Earth! How did their remains not rot and decay? And how are they still preserved? 
Well, when these creatures died and as they rotted, they got buried under layers and layers of soil. The skin and flesh decayed and disappeared, but the hard bones and teeth remained because of the tightly packed soil. All these layers of soil, along with the bones, became hard and turned into rock. Plant and animal remains preserved as imprints in this rock are called fossils.",moderately complex,"ss_annotator_1: The majority of the text consists of simple sentences with one concept.
ss_annotator_2: This passage would work for most third graders. It has a variety of sentence structures, but they are arranged in a way that is easy to comprehend.
ss_annotator_3: Lots of compound sentences, but not too many sub-clauses and transitions.",not scored,not scored,not scored,not scored,not scored,not scored,not scored
566,2876,4,7.37,"A very special branch of science called ‘Paleontology' (pronounced pay-lee-ontol-oji). Paleontology is the study of plants and animals that lived on Earth many, many years ago. And paleontologists are scientists who study this science. Just as the ruins of an old palace can tell us things about a king from the past (like how grand his throne was, or what his favorite weapon was), there are clues deep inside the earth that can tell us many things about ancient animals. The clues come in many forms—bones, footprints, eggs, and sometimes even the body of an entire animal preserved in stone!
These animals lived millions and millions of years ago, long before apes or humans appeared on Earth! How did their remains not rot and decay? And how are they still preserved? 
Well, when these creatures died and as they rotted, they got buried under layers and layers of soil. The skin and flesh decayed and disappeared, but the hard bones and teeth remained because of the tightly packed soil. All these layers of soil, along with the bones, became hard and turned into rock. Plant and animal remains preserved as imprints in this rock are called fossils.",slightly complex,"ss_annotator_1: The majority of the text consists of simple sentences with one concept.
ss_annotator_2: This is also a good passage for fourth grade. I would consider it slightly complex because of the high number of simple sentences. Most sentences only have one concept.
ss_annotator_3: Lots of compound sentences, but not too many sub-clauses and transitions.",moderately complex,"vocab_annotator_1: I think this is written clearly and has fewer new vocabulary for 4th grade, I could see 3rd graders completing this passage independently. The definitions embedded within the piece would also make it more suitable for 3rd / 4t
vocab_annotator_2: comprehensible text for a 4th grader
vocab_annotator_3: Students would be able to access the gist of this text with light to medium scaffolds; vocab is not a insurmountable barrier to comprehension","bones, fossils, paleontologists, paleontology, ruins","aibones, fossils, paleontologists, paleontology, ruins",,paleontology,"Students are likely familiar with fossils and Earth's changes from studying fossils in 2nd grade, but may not be familiar with the specific term ""Paleontology"" or the detailed process of fossilization."
567,2900,3,7.23,"It is important that your experiment is a fair and valid test of your hypothesis. You should make sure that you only change one condition in your experiment at a time and keep all other conditions the same. In our example, you would want to make sure that the only thing you change is what you water the plants with. You would use the same type of seeds in each plant, the same type of soil, and keep them in the same place where they will get the same amount of sunlight. If one plant gets more sunlight than another one, you won't know for sure if it was the sunlight or the coffee that made it grow faster. You also need to repeat the experiment several times to make sure the results were not random. This is called having multiple trials.
Collect your measurements and analyze them to see if they support your hypothesis. You can put your measurements in a chart or a graph to help you. It is important to think about what type of graph works best for your data.",very complex,"ss_annotator_1: There are too many complex sentences that contain more than one concept.
ss_annotator_2: This passage would be comprehensible for some third grade level students. It is considered ""very complex"" for third grade due to the high number of complex sentences
ss_annotator_3: Text has complex sentences but concepts presented in a straightforward way",not scored,not scored,not scored,not scored,not scored,not scored,not scored
568,2900,4,7.23,"It is important that your experiment is a fair and valid test of your hypothesis. You should make sure that you only change one condition in your experiment at a time and keep all other conditions the same. In our example, you would want to make sure that the only thing you change is what you water the plants with. You would use the same type of seeds in each plant, the same type of soil, and keep them in the same place where they will get the same amount of sunlight. If one plant gets more sunlight than another one, you won't know for sure if it was the sunlight or the coffee that made it grow faster. You also need to repeat the experiment several times to make sure the results were not random. This is called having multiple trials.
Collect your measurements and analyze them to see if they support your hypothesis. You can put your measurements in a chart or a graph to help you. It is important to think about what type of graph works best for your data.",moderately complex,"ss_annotator_1: There are too many sentences that contain more than one concept.
ss_annotator_2: This passage would be okay for most fourth graders. Although it has complex sentences and multiple concepts in some sentences, it does not have many transition words. The sentence structures make it easy to understand.
ss_annotator_3: Easy to read phrases, even with more than one concept in many sentences it still may be too easy",very complex,"vocab_annotator_1: This seems suitable for 4th grade, almost 3rd grade. There are limited new vocabulary especially with the background knowledge expected. 
vocab_annotator_2: not too difficult of a text
vocab_annotator_3: Students would be able to access the gist of this text with light to medium scaffolds; vocab is not a insurmountable barrier to comprehension","analyze, condition, experiment, random, results, support, trials, valid","hypothesis, trials",,,"Students are likely familiar with basic scientific methods, including forming hypotheses, conducting experiments with controlled variables, and using charts or graphs to analyze data. They may not be familiar with more advanced statistical analysis or experimental design concepts."
569,2901,3,6.31,"Have you ever felt tired of the books you read in school? That's how Marley Dias felt when she was 11 years old and all of the books she read in school ""were about white boys and their dogs."" Dias says she couldn't connect with the characters in the books so she ""couldn't learn lessons from those stories.""
When Dias complained to her mother about her problem, her mother asked her what she was going to do about it. Dias thought about her options. She could just ask her dad to buy her a lot of new books. But after doing some research to find books with black girls as the main characters, she realized that there weren't very many to choose from. According to Cooperative Children's Book Center, fewer than 10 percent of children's books released in 2015 had a black person as the main character. Recently, there has been a movement to make books more diverse. Many school libraries tend to have older books, though, which are even less diverse. Dias realized she probably wasn't the only black girl feeling like she couldn't relate to her school reading curriculum.",very complex,"ss_annotator_1: There are too many complex sentences and sentences that contain more than one concept.
ss_annotator_2: All of the sentences are complex. Also, about half of the sentences have multiple concepts.
ss_annotator_3: Many complex sentence and concepts but logically put together phrasing",very complex,"vocab_annotator_1: I feel like the number of tier 2 words was just enough. I think context and the explanation infused into the passage gives enough for 3rd graders to figure out some or most of the unknown vocabulary. 
vocab_annotator_2: text is not that challenging
vocab_annotator_3: Students would be able to access the gist of this text with light to medium scaffolds; vocab is not a huge barrier to comprehension","complained, connect, cooperative, curriculum, diverse, movement, options, percent, realized, relate, released, research",,,"black girls, white boys","Students are likely familiar with the concept of diversity and representation in literature, as well as the idea of connecting with characters in stories. They may not be familiar with specific statistics about diversity in children's literature or the Cooperative Children's Book Center."
570,2901,4,6.31,"Have you ever felt tired of the books you read in school? That's how Marley Dias felt when she was 11 years old and all of the books she read in school ""were about white boys and their dogs."" Dias says she couldn't connect with the characters in the books so she ""couldn't learn lessons from those stories.""
When Dias complained to her mother about her problem, her mother asked her what she was going to do about it. Dias thought about her options. She could just ask her dad to buy her a lot of new books. But after doing some research to find books with black girls as the main characters, she realized that there weren't very many to choose from. According to Cooperative Children's Book Center, fewer than 10 percent of children's books released in 2015 had a black person as the main character. Recently, there has been a movement to make books more diverse. Many school libraries tend to have older books, though, which are even less diverse. Dias realized she probably wasn't the only black girl feeling like she couldn't relate to her school reading curriculum.",moderately complex,"ss_annotator_1: There are too many complex sentences and sentences that contain more than one concept.
ss_annotator_2: All of the sentences are complex. Also, about half of the sentences have multiple concepts.
ss_annotator_3: Many complex sentence and concepts but logically put together phrasing; maybe could be ""too easy"" but the complexity I think still makes it cognitively interesting enough",not scored,not scored,not scored,not scored,not scored,not scored,not scored
571,2907,3,8.65,"Amelia Earhart was born on July 24, 1897, in Atchison, Kansas. She grew up living with her grandparents and her mother. Her mother didn't believe in raising ""nice little girls"" and let both of her daughters wear pants at a time when this was considered very unusual. Earhart liked adventure and would often climb trees in her grandparents' neighborhood. She was very fond of sledding, which she said felt like flying. When she was ten, Amelia's parents moved to Des Moines, Iowa, for her father's job with the Rock Island Railroad, while Amelia and her sister remained with their grandparents in Kansas. Over the course of her young life, Amelia and her family moved around a lot because her father had trouble finding and keeping jobs. Although Amelia loved reading, science, and sports, it was hard for her to make friends and do well in school.
In high school, Amelia dreamed of having a career. She kept a book filled with newspaper and magazine clippings about women who were successful in jobs that were usually reserved for men, such as lawyers, engineers, and movie directors. After high school, Amelia went to visit her sister in Toronto, Canada.",moderately complex,"ss_annotator_1: There are too many sentences that are complex and contain more than 1 concept.
ss_annotator_2: many compound and complex sentences. likely too challenging for a 3rd grade reader especially given vocabulary, multiple concepts in sentences and shifting timeframe
ss_annotator_3: Good mix of sentence types, multiple concepts easy to follow",not scored,not scored,not scored,not scored,not scored,not scored,not scored
572,2907,4,8.65,"Amelia Earhart was born on July 24, 1897, in Atchison, Kansas. She grew up living with her grandparents and her mother. Her mother didn't believe in raising ""nice little girls"" and let both of her daughters wear pants at a time when this was considered very unusual. Earhart liked adventure and would often climb trees in her grandparents' neighborhood. She was very fond of sledding, which she said felt like flying. When she was ten, Amelia's parents moved to Des Moines, Iowa, for her father's job with the Rock Island Railroad, while Amelia and her sister remained with their grandparents in Kansas. Over the course of her young life, Amelia and her family moved around a lot because her father had trouble finding and keeping jobs. Although Amelia loved reading, science, and sports, it was hard for her to make friends and do well in school.
In high school, Amelia dreamed of having a career. She kept a book filled with newspaper and magazine clippings about women who were successful in jobs that were usually reserved for men, such as lawyers, engineers, and movie directors. After high school, Amelia went to visit her sister in Toronto, Canada.",moderately complex,"ss_annotator_1: The are too many sentences that are complex and contain more than one concept.
ss_annotator_2: many compound and complex sentences. likely too challenging for a 4th grade reader especially given multiple concepts in sentences and shifting timeframe
ss_annotator_3: Same rationale but less complex for 4th grade",slightly complex,"vocab_annotator_1: I feel like this piece could be moved to 3rd grade. In the narrative style, it is easy to read and the vocabulary can be decoded or assumed easily in my opinion. 
vocab_annotator_2: it is an at grade level text
vocab_annotator_3: Students would be able to access the gist of this text with no to light scaffolds; vocab is not a barrier","adventure, career, course, engineers, reserved, sledding, unusual. considered","amelia earhart, atchison, des moines, remained, rock island railroad, toronto",,"magazine clippings, nice little girls","Students are likely familiar with basic biographical narratives and the concept of gender roles, but may not be familiar with specific historical figures like Amelia Earhart or the societal norms of the early 20th century."
573,2908,3,8.79,"In 1903, when Curie finished her PhD at the Sorbonne, her examiners thought that her work was the greatest contribution to science ever made in a PhD thesis. That year, she also won the Nobel Prize with her husband and Henri Becquerel for their work on radiation. She was the first woman to earn a Nobel Prize in physics. A few years later, Pierre was struck by a horse carriage and died. The Sorbonne offered Curie his position as professor of physics at the Sorbonne, making her their first female professor.
In 1911, Marie Curie won her second Nobel Prize, this time in the field of Chemistry for discovering polonium and radium. This would make her the first and only person to win a Nobel Prize in two different fields. Curie became famous for her scientific discoveries and was invited to attend the Solvay Congress in physics with Albert Einstein and other famous scientists.
When World War One broke out, Curie devoted herself to helping soldiers. She realized there was a shortage of X-ray machines, which meant they couldn't help all of the wounded soldiers.",moderately complex,"ss_annotator_1: The number of complex sentences and sentences containing more than one concept.
ss_annotator_2: mostly compound and complex sentences. subject specific vocab too challenging, changing time frame, multiple concepts in a sentence and required background knowledge would make it too challenging
ss_annotator_3: Appropriate mix of sentence types and easy to follow flow of concepts",moderately complex,"vocab_annotator_1: The tone and use of the vocabulary is far too advanced for 3rd graders, I think they would get lost in the unknowns. Too many. It is better suited to 4th or probably 5th. The older grades have much more basic exposure to science words and would be able to understand the use of the words ... although they might not know what something like radium is ... I think the older students could assume the scientific idea of it. 
vocab_annotator_2: Too difficult of text and topic for a 3rd grader
vocab_annotator_3: This requires a good deal of scaffolding and content knowledge in order to access the gist and meaning of this text - vocabulary may be a barrier to comprehension.","attend, contribution, devoted, discoveries, discovering, examiners, invited, professor, realized, shortage, thesis","albert eistein, chemistry, contribution, curie, examiners, field, henri becquerel, nobel prize, phd, physics, polonium, professor, radiation, radium, solvay congress, sorbonne, thesis, x-ray machines","horse carriage, world war one","nobel prize, sorbonne","Students are likely familiar with basic concepts of scientific discovery and notable historical figures, but may not be familiar with Marie Curie's specific contributions, the Nobel Prize, or the historical context of World War One."
574,2908,4,8.79,"In 1903, when Curie finished her PhD at the Sorbonne, her examiners thought that her work was the greatest contribution to science ever made in a PhD thesis. That year, she also won the Nobel Prize with her husband and Henri Becquerel for their work on radiation. She was the first woman to earn a Nobel Prize in physics. A few years later, Pierre was struck by a horse carriage and died. The Sorbonne offered Curie his position as professor of physics at the Sorbonne, making her their first female professor.
In 1911, Marie Curie won her second Nobel Prize, this time in the field of Chemistry for discovering polonium and radium. This would make her the first and only person to win a Nobel Prize in two different fields. Curie became famous for her scientific discoveries and was invited to attend the Solvay Congress in physics with Albert Einstein and other famous scientists.
When World War One broke out, Curie devoted herself to helping soldiers. She realized there was a shortage of X-ray machines, which meant they couldn't help all of the wounded soldiers.",moderately complex,"ss_annotator_1: The number of complex sentences and sentences containing more than one concept.
ss_annotator_2: mostly compound and complex sentences. subject specific vocab too challenging, changing time frame, multiple concepts in a sentence and required background knowledge would make it too challenging
ss_annotator_3: Appropriate mix of sentence types and easy to follow flow of concepts; might be too easy",not scored,not scored,not scored,not scored,not scored,not scored,not scored
575,2916,3,6.83,"It is hard to figure out how little kids learn something as complicated as language. Do they copy their parents? Do they start making sounds until the right words come out? Do they find patterns and learn which sounds go together a lot, like b-a-b-y? Do they learn that different words match up with different things and use this to figure out what the words mean? Do they make guesses about what words come next and then learn from their mistakes? Do they just want to have fun with their moms, dads, brothers, and sisters, and this motivates them to learn language? Different scientists think learning happens in different ways. There are so many possibilities. While scientists love to disagree with each other, they generally agree that learning builds on itself over time. The first years of life matter a lot for our ability to learn later on and for our ability to do well in school. What's exciting is that language learning is still a big mystery, and scientists will have plenty of work to do in the coming decades (or even centuries)!",moderately complex,"ss_annotator_1: The majority of the text is comprised of simple sentences.
ss_annotator_2: mostly simple sentences with some complex and compound. the questioning in this text would make this text difficult to comprehend for a 3rd grade reader
ss_annotator_3: Even with many sentences with multiple concepts, overall very simple",not scored,not scored,not scored,not scored,not scored,not scored,not scored
576,2916,4,6.83,"It is hard to figure out how little kids learn something as complicated as language. Do they copy their parents? Do they start making sounds until the right words come out? Do they find patterns and learn which sounds go together a lot, like b-a-b-y? Do they learn that different words match up with different things and use this to figure out what the words mean? Do they make guesses about what words come next and then learn from their mistakes? Do they just want to have fun with their moms, dads, brothers, and sisters, and this motivates them to learn language? Different scientists think learning happens in different ways. There are so many possibilities. While scientists love to disagree with each other, they generally agree that learning builds on itself over time. The first years of life matter a lot for our ability to learn later on and for our ability to do well in school. What's exciting is that language learning is still a big mystery, and scientists will have plenty of work to do in the coming decades (or even centuries)!",moderately complex,"ss_annotator_1: The majority of the text consists of simple sentences.
ss_annotator_2: mostly simple sentences with some complex and compound. the concepts and vocabulary of this text would likely make it understandable that a 4th grade reader would be able to navigate the more complex sentence structures
ss_annotator_3: Even with many sentences with multiple concepts, overall very simple",very complex,"vocab_annotator_1: I could see this as a 4th grade piece. The multiple question format seems a little abstract for 3rd and the level of vocabulary too easy for 5th. 
vocab_annotator_2: age appropriate
vocab_annotator_3: NA","ability, centuries, complicated, decades, generally, motivates, patterns, plenty, possibilities, scientists",,,,"Students are likely familiar with basic concepts of language and communication, but may not be familiar with the scientific theories and debates about language acquisition."
577,2925,3,8.06,"A situation is a ""game"" whenever (i) more than one person is making a decision and (ii) people's decisions impact one another.
Just about everything we do in life is a game in the game-theory sense. At home, at school, everywhere we go, and just about everything we do, we are playing games. Do not believe me? Think back to the very beginning of your day, when you woke up. How quickly you got out of bed impacted your parents—and how early they woke you up impacted you—so that was a game! Think about what happened next, throughout the rest of the day. From the bathroom to the breakfast table, in the classroom and on the playground, you make choices that impact others as well as yourself. You're playing games! Knowing about game theory can help you improve your experience in those situations—not just to ""win,"" but to improve your relationships and have a happier life.
Game theory is used to study how people are likely to behave in strategic situations, with applications in economics, political science, business strategy, law, entrepreneurship, and military science, to name just a few.",exceedingly complex,"ss_annotator_1: There are too many complex sentences that contain more than 1 concept.
ss_annotator_2: mainly complex sentences. sentence structure, vocab and required background context would make this passage too challenging
ss_annotator_3: Use of complex sentences and multiple concepts together, with interrupting phrases, makes the structure challenging for grade 3",not scored,not scored,not scored,not scored,not scored,not scored,not scored
